business_id,Restaurant,Rating,City,Latitude,Longitude
3jy3CXO6gVEat4uB-E2msA,Orange Table Tempe,3.5,Tempe,33.4229734,-111.9364826
ijYzvkUe6w7RKnzqgE-B_Q,Dave's Dog House,4.0,Tempe,33.4185090673,-111.936309645
6C_8Mh4lmLc_QEs3hHleBg,El Pollo Supremo,4.0,Tempe,33.4215666,-111.942904
sSZ1dQ6vcqfMmSQENQDBuw,Pho Thang Long,3.0,Tempe,33.425938,-111.940346
ydE2SjvSd9_NMoEBAE2PuA,Chili's Grill & Bar,3.5,Tempe,33.4217581,-111.9397605
K8ZeT5Y5L0SDh18wO0ZOAQ,Famous Potato,1.5,Tempe,33.4256844,-111.9397764
03eJ6dfI2P5T-ADdsNpHZg,"Sandra Dee's Catering,LLC",4.5,33.4361171,-111.9306166
EPkV2_H0TRcARa-2IFZ-2A,Papa John's Pizza,2.0,Tempe,33.4080579,-111.9469356
L2iT7pipc455Tgpbo35_mw,CASA Sunbá,3.0,Tempe,33.4243368,-111.9394223
Sz33V_SCMJw9fhnIOpZrmQ,El Pollo Loco,3.5,Tempe,33.4139263116,-111.926635491
tJyXQ8xziSqK7dtB0Md3mw,Boston's Restaurant & Sports Bar,3.0,Tempe,33.4221689,-111.944507
m-KkjBgtiRhtXA10_jwh2Q,McDonald's,1.5,Tempe,33.43,-111.93
aqMfCbFNeWn1a4Evds83fg,Ike's Love & Sandwiches,4.5,Tempe,33.4237298,-111.9396558
4K5NUsinIgtq-yuxdp2HdA,Fuzzy's Taco Shop,3.5,Tempe,33.4259647,-111.9402513
jiOREht1_iH8BPDBe9kerw,Dilly's Deli,4.0,Tempe,33.4221754,-111.9453653
F4zvnOsgjEV9aVbKqBYRng,4one4 Pizza,3.5,Tempe,33.4259647,-111.9402513
GC6p25n0QNhRWZw6YMuMcw,Mission Grille,3.5,Tempe,33.4266911015,-111.939145228
aiX_WP7NKPTdF9CfI-M-wg,Culinary Dropout,4.0,Tempe,33.428533,-111.943955
6W20fKnjqPTSU2irnSVmSQ,P.F. Chang's,3.0,Tempe,33.4222769755,-111.940291177
Wrd9LAbc8IOoAS5H6uw9sw,Delhi Palace Cuisine of India,3.5,Tempe,33.4213508,-111.9247139
futvxFkM42RYxXr8ROogBQ,The Munchies Cafe,4.0,Tempe,33.424165115,-111.939458389
0TBTV3q6QXCn9vNhy3Xi2w,Café Lalibela,4.0,Tempe,33.4213360711,-111.951614885
AcgtsEyOco2WVJLgCGVwQA,Whataburger,3.5,Tempe,33.413111252,-111.926683862
LBAkHJJfCoDj9aa5sc0Mxw,Steak 'n Shake,2.5,Tempe,33.4231081043,-111.940307173
SurnOSM2bVVN4-Js3G23RQ,House of Tricks,4.0,Tempe,33.4235148,-111.9374375
v0YATh4rCiPlBpSyNmh3tQ,Umami,4.5,Tempe,33.422195,-111.9387387
hVC6E29dg5Rx4ADSxt3kTA,Restaurant Mexico,3.5,Tempe,33.4259416,-111.939699
0aSvr56wz4gRAA5TtV7_Tw,Zuma Grill,2.5,Tempe,33.4241057599,-111.939825685
IrXlXhmSHlIllxZSAARjLA,Flaming Kabob,3.5,Tempe,33.421881,-111.925474
Sg9R6OwNBq5Zf-kjiVBxuw,Public House On Sixth,3.0,Tempe,33.4241272,-111.9405173
l3bmBkr8_Pw3G-QkX0tPrw,Tasty Thai Restaurant,4.0,Tempe,33.4073889,-111.946774
utoTa3Ngv_oSfB5TIMgN_Q,Rula Bula,3.5,Tempe,33.4263511706,-111.939819684
YmOWkved7K8q3eXgf4NNnA,Ncounter,4.0,Tempe,33.4272158793,-111.940230027
ssZx3Jzhme38YTbLzaDY6Q,Mamacita's Cantina,3.0,Tempe,33.4222752,-111.9360609
U8rHQ_Sg8A2m291Y7WEfIg,Devil's Advocate,3.5,Tempe,33.421676,-111.9243266
7N3q70C_mwEYQ2QcGfjvgA,Thai Basil,4.0,Tempe,33.4162887,-111.9258926
DEBqmgxv2yhJ93LqGpKltg,Earl Of Sandwich,4.0,Tempe,33.4251725238,-111.939814112
nChi_8Gygb6NUMa_kg_tlQ,Asian Fusion Cafe,4.0,Tempe,33.4227177,-111.925843
EVbEdWYLE9GDpVG97MGw-w,Macayo's Mexican Restaurants,3.0,Tempe,33.4277695521,-111.943175111
3vOWSanFt56CwRJOE9Kj_g,World Of Beer,3.0,Tempe,33.4245256736,-111.940189141
vhIJ91MDgUuk4Cr9Kpj1Nw,Jimmy John's,3.5,Tempe,33.423975,-111.940351
OoKNxTMu5YAaNgQKQ4SrzA,Desert Roots Kitchen,4.5,Tempe,33.4259738171,-111.940346
pmjwA8fI0scEBA7HRtbI3w,Capriotti's Sandwich Shop,4.0,Tempe,33.4219357,-111.941963
v8QuF4YX9Bb-qEtKLVPrmA,Buffalo Wild Wings,2.5,Tempe,33.4235735,-111.9258327
3Ll-F55gm-tDXy3I37beJA,Pho Nhat,3.5,Tempe,33.4214242,-111.924865
0HgLKI1T9WT3hJXskDtUrQ,Tea Swirl,4.5,Tempe,33.4227177,-111.925843
sahppzQJ0HtvMC7L8ILTVg,Chipotle Mexican Grill,3.0,Tempe,33.4179876,-111.9404127
PF6IipxqHx0i2cFBAraXPw,Cafe Rio,3.5,Tempe,33.4231458924,-111.926085055
WWqdy9PKOSyhLgHIGaNFrA,Oliveo Grill,3.0,Tempe,33.4214242,-111.924865
F5iUtmlMqPva4aUDz6xK6g,Port of Subs,4.0,Tempe,33.4227968,-111.9345668
W7hCuNdn2gzehta6eSHzgQ,Pete's Fish & Chips,2.0,Tempe,33.4144347,-111.923705
tS2Y2hMWZMvwjiY3z6LuUg,Regions Bistro & Bar,2.5,Tempe,33.4233153,-111.9402738
fasduK6l1bu2ngRSLDNkIw,Za Cucina,4.0,Tempe,33.4226468,-111.9348002
2hO-2tBcwZOhsbf64LcfWw,Tempe's Front Porch,3.5,Tempe,33.429167,-111.940416
QV2echCErxFY4VbH-z6eOg,Fatburger,3.0,Tempe,33.4259647,-111.9402513
aVKOO7rBVo2lCj-KElxp5Q,Hippies Cove,3.0,Tempe,33.4259647,-111.9402513
euhSHOJzcYrff3B6F-okkw,Copper Blues,3.5,Tempe,33.4224516373,-111.92542238
BTf8sELl1TjovRc0f-tgJg,Boulders On Broadway,4.0,Tempe,33.4077021,-111.9475535
bKyjGqmnP4goQRYYp4ARhg,Salam's Market & Deli,3.5,Tempe,33.4235279,-111.9368564
U6P56MjLrraN0JBNvOjxaA,The Chuck Box,4.0,Tempe,33.422317,-111.936309
xZhCCireQYwcRHh5Nc1Vkw,3 Roots Coffee House and Cafe,3.5,Tempe,33.418499,-111.940305
wk49hcW-f1VZG1CeWBzCMg,Bad Mother Cluckers,3.5,Tempe,33.422145,-111.938705
Nf1ZtgHwg0Mu5lOaJYgDGQ,Slices,3.5,Tempe,33.4243474,-111.9398364
dmLMOm9mXO-Hd41UxihOqQ,Tsom Vegetarian Flavors,3.5,Tempe,33.4213508,-111.9247139
6QIzCTSZfXL3r2mIWn58bQ,Cafe Roma,2.5,Tempe,33.4228634,-111.9514297
VO-p1uczeMbzH8bEAv-RgA,Rosita's Fine Mexican Food,3.0,Tempe,33.4229035,-111.9517607
qMJyOW1FdPOf8sli8DIq_A,Délice Bistro,3.5,Tempe,33.4234132387,-111.940683119
q6igRYs2UTO-4nTwlttrAQ,Panchero's Mexican Grill,3.0,Tempe,33.4343165,-111.9256121
3TxhQKVNLKqRKITPrZQlGg,Trailer Park Restaurant,3.0,Tempe,33.4199328,-111.9232096
Wnq5to0-jXyh0-_jRZ6VOQ,Z Tejas,3.5,Tempe,33.4245625,-111.9409053
aXsmmtepl0JZNcl3pkXqww,Sacks Sandwiches,4.0,Tempe,33.4212223787,-111.951613763
4K3EHSn_DHjdxUEoYos95Q,Popeyes,3.5,Tempe,33.4068487776,-111.945639515
0o_JtYrz5FRVMcAEVmf42w,Grilled Ave Teriyaki House,3.5,Tempe,33.4228938773,-111.936524647
feu6_wWLD5l_2Ha3In_ENA,My Pie Pizza,4.5,Tempe,33.4227968,-111.9345668
jj7zJSRfS3lb49zQ94ysGg,Juba,4.0,Tempe,33.4214242,-111.924865
NxjUiGBNgyDErKXnmQ3s3w,Cartel Coffee Lab,4.0,Tempe,33.4214126083,-111.942980289
HoRfE-2ry_RKR_b2DZNAWQ,The Beach Pit,3.5,Tempe,33.4259376526,-111.940246582
Y_3wdqZUoi8qyW7ZugIQNw,Chick-fil-A,4.0,Tempe,33.421667,-111.940894
w0p0kLkEp4djkzJBmSkpuA,Crazy Fish & 202 Sushi,2.5,Tempe,33.4369319,-111.9270714
WGfalBzV-u0gXKb6149ZCQ,Blue Nile Cafe,4.0,Tempe,33.4213508,-111.9247139
vW1P-SytRsF20a3ka9mBtw,Los Arielitos Taco Shop,4.0,Tempe,33.4213508,-111.9247139
afTfGQIjeq3sRk_5zyQxuQ,Plaid Eatery,3.0,Tempe,33.4171122,-111.9230235
m8Cbph-0tlMaYyXDwvKc3A,Pho Cao,3.5,Tempe,33.4369319,-111.9270714
1hkksm102yQY1DyfTPSzmA,Monti's La Casa Vieja,3.5,Tempe,33.429221,-111.940425
diAJlvbE8UrRQ9RN2nZ5Tw,The Normal,3.5,Tempe,33.4143794,-111.9359999
LFI82Rds5tKa5EAngmDvLQ,Seoul Garden,2.5,Tempe,33.4130961,-111.9262735
Ps4tmjscZNPHKF2rCS8tnA,Mad Hatter Brew Pub,3.0,Tempe,33.4251549,-111.93526
GB6bZTCMmqZncRSxurNblA,Nocawich,4.0,Tempe,33.4227395826,-111.934791102
jXEwGfy3bzI8t4TkMF-c4A,Char's Thai Restaurant,3.0,Tempe,33.421712,-111.925231
bFfWZ4TEyejefj4yk41M5Q,Bite Me Subs,3.5,Tempe,33.4075797,-111.9471089
9D7h2xfVJrGkkwXDsnfV_Q,Romancing the Bean,4.0,Tempe,33.4313356,-111.9386673
lC2hnEYBN_97HXDQnpGpZA,King Coffee,4.5,Tempe,33.4185276,-111.9402862
wl0QZqAzr1DelslQ02JGCQ,Cornish Pasty Company,4.5,Tempe,33.4230593197,-111.951842687
qnql60YyttH_nMfufiHHtw,Sami's Gyros,3.0,Tempe,33.4228482774,-111.921341418
xQLfpn1qaXt_j3osW86Iwg,Cupz Coffee,3.5,Tempe,33.4227968,-111.9345668
S1XhpND8AUrenZFNd1tWJw,Mai Island Grill,4.5,Tempe,33.422788,-111.936439
mW97sJ9JVjs_REfp6XjRhQ,Raising Cane's,4.0,Tempe,33.4223956225,-111.924355901
oO6J78pMW4s8OzSUm75SpQ,Hooters,3.0,Tempe,33.4252893,-111.9396982
HFyMS_9yLaYN7GIcXzcboA,Gringo Star Street Bar,3.0,Tempe,33.4252893,-111.9396982
Hr5h_LG9TMBLlFz_Oici0A,Caffe Boa,3.5,Tempe,33.426651,-111.940428
HkbNItNrnXlNo59M0YyoMg,Loco Patron,3.5,Tempe,33.428145,-111.940407
-cBQKodqi77Q0vk-9iDvQA,Fat Tuesday,3.5,Tempe,33.4238124118,-111.940225132
QZJpXx1TbOXqzLx6u6xmaQ,Paradise Hawaiian BBQ,3.5,Tempe,33.4245349584,-111.935202808
pTCyou_1EKkm1MUeejFLag,Royal Coffee Bar and Roasting Co,4.5,Tempe,33.4250152612,-111.935203074
9kjk05G50XWnmJQBz_wcnw,Umami,4.0,Tempe,33.42399,-111.939011
IWOQNyRqWrnqQA5K49eK5g,Hot N Juicy Crawfish,3.5,Tempe,33.423003027,-111.940655568
eDw3UUcM_T20WrsKldracw,International House of Pancakes,3.0,Tempe,33.4143794,-111.9359999
vK1_qKEG7zHvjiTOsN0CRg,Snooze AM,4.5,Tempe,33.4238394936,-111.934801369
Vrwc9RPievPfQl4VCReXow,Uno's,2.5,Tempe,33.423411,-111.94049
MqJCtE12yfzQZCg8KGzNTw,Nick's NY Pizzeria,3.0,Tempe,33.422454109,-111.92559538
XfNDmxQiG5nZVZe-JY10NA,Stan's Metro Deli,3.5,Tempe,33.425938,-111.940346
1Z4_zSITNVQ_Bt027R0S1g,Robbie Fox's Public House,3.5,Tempe,33.4241412,-111.9400737
AfN3Z1U6QPEgAb5F2CQm8w,Casey Moore's Oyster House,4.0,Tempe,33.4206476074,-111.942500903
nirw-sDOBF12TA6Mh8ju7g,The Pita Pit,3.0,Tempe,33.4222382,-111.9359122
6KgGE8B1RsR7jc9R5nuH0Q,Ruby Tuesday,2.0,Tempe,33.422192,-111.939615
UJb1PrUWDFfuzwUPc1pP4Q,El Hefe,3.0,Tempe,33.4241943584,-111.940372461
puQ2WGO0L2KvKqNQCJYZRw,Loving Hut Tempe,4.5,Tempe,33.4214795,-111.945394
Iqu-RwRA4XfwILKQLKQZew,Pastries N Chaat,3.5,Tempe,33.4223217,-111.9257103
McsAPsIJPXHrZ1jY2FzmNw,Denny's,2.5,Tempe,33.4354771236,-111.926680505
6_lNZXYsz0SIOakNyBF0zQ,Brosenbrus Cafe,4.0,Tempe,33.4148329,-111.9254187
poOnGeQlHEnWRAH9t_0KMg,NYPD Pizza,4.5,Tempe,33.42791,-111.9404991
8CRXSMiyTR9DOMOdrTDRUw,Gangnam Sushi & Grill,4.0,Tempe,33.4210854799,-111.924814023
oN8LWCHqpLguNYW6_Fk9Cg,Firehouse Tempe,3.0,Tempe,33.4219970703,-111.939888
Pd9cq5LkReRCNsgyh19wJQ,Crepes On Campus,3.0,Tempe,33.4366655,-111.9403254
aZVtg450O51eenM25tDkEQ,La Pita Bar & Grill,2.5,Tempe,33.4251775,-111.9397665
pdF7iJgA4ViACgA4t1OymQ,Library Bar & Grill,3.0,Tempe,33.4253067,-111.9397171
AxluhyBhbxz0Ndfmi0GjwA,"Geno's Pizza ,Cheesesteak & Deli",2.5,33.421311,-111.9258527
OiaoUB_UjY-VZ_xd5WKDmg,Crave Cafe & Lounge,3.0,Tempe,33.4252092,-111.9398439
FrXD-7_LxoglCKdYzNMf1w,Maloney's On Campus,2.5,Tempe,33.4216767,-111.9243672
9jOGMcH1pxDDhgSMLBnb-g,Thirsty Dog 2 Go,4.0,Tempe,33.4253185375,-111.940474945
uLL2uKqYnPAFwBw11LzDUQ,Gus's New York Pizza,2.0,Tempe,33.4212807328,-111.925883285
db12Hn9hdoE-Ne4_NsVKSw,Taco Shack,3.5,Tempe,33.4216106,-111.9505612
G7Ull-QUaNXyPwtEErHZ8g,Mr. Hunan,2.5,Tempe,33.4229035,-111.9517607
5k34OJo3BsEaoyMsW86eZg,Chronic Cantina,3.5,Tempe,33.4243368,-111.9394223
qhkfJbMCFE7bgKDM-J6bmA,The Grill on Mill,4.0,Tempe,33.4269477,-111.9404332
21fK0m8sQFbRQv3RlskE2w,Corleone's,3.0,Tempe,33.426046,-111.9398137
p4GMQauk2iqZnN6cj81s3g,The Bamboo Club,3.0,Tempe,33.4237298,-111.9396558
_v1LoEQz_JR1pilS2p3s5A,Venue 104 - A Performance Cafe,4.0,Tempe,33.422031,-111.9254576
l_B0JtF2UraFqhDpp5go0Q,Corner Bakery Cafe,4.0,Tempe,33.4283455538,-111.940301929
EHgGscaiJBghjZVT9hsBFw,Mister G's Pizzeria,3.5,Tempe,33.422728,-111.951494
3ky17eHU-4gSl3knpI__-w,Canteen Modern Tequila Bar,3.5,Tempe,33.4241272,-111.9405173
arFyWH26WkKjGEnh3FNXww,Wingstop,3.5,Tempe,33.4343165,-111.9256121
BaPKO2rV_uaOtRliKtaFcQ,Silver Mine Subs,3.5,Tempe,33.4259647,-111.9402513
2aLyQgYUNQDc33U0ZxTT3A,French Fry Heaven,4.0,Tempe,33.4142594,-111.9288941
tLCZdAt83gvD6Me_Vshu1w,Gus's New York Pizza,2.5,Tempe,33.4212807328,-111.925883285
zDmvN4_WX7kTQpuRdKXDCw,In Season Deli,4.0,Tempe,33.4259647,-111.9402513
NUhHkT1wfXsTLxt_tWwVXw,Thai Elephant,4.0,Tempe,33.4215994533,-111.950365754
qiR7S83_7Du_XQyj_U0zWw,IHOP,3.0,Tempe,33.4235735,-111.9258327
Q5CFijcygcSLxALuRl4tyg,Sol Diablo Cantina,3.5,Tempe,33.4248119841,-111.935391314
luI3vBj9ciPBWT2bQ7dXXg,Smashburger,3.5,Tempe,33.4226468,-111.9348002
6lCFq6RQxctSW37yNYZ5wg,Tapacubo,3.5,Tempe,33.4143794,-111.9359999
CRLvROAjgX-aKI7VIfPLFg,Pita Jungle,4.0,Tempe,33.422192,-111.939615
0pMsVlUu_MbFqmvbA8F79Q,Cheba Hut,3.5,Tempe,33.422728,-111.951494
smheJ4YvpiMObas1mrfAjQ,Grilled Expedition On Mill Cafe,3.5,Tempe,33.4230549,-111.9404797
8ftKnfgHwbZn84efZPPIbw,Pizzeria Uno,2.5,Tempe,33.423411,-111.94049
E_eIph8IT10Uo06ZdWwoUw,The Handlebar Tempe,3.5,Tempe,33.4239019898,-111.940287352
YCxRU8kBb58gAus4tFmziw,Fàn Boy at ASU,5.0,Tempe,33.414651,-111.9327918
yVLbAdSQQURBNWsJIxzmfw,Dragonfly Vietnamese Kitchen,2.5,Tempe,33.425938,-111.940346
9uhQx8mHK-C1h-cPoDnStA,Einstein Bros Bagels,3.0,Tempe,33.4180432505,-111.934237427
mKf7pIkOYpEhJTqjw4_Fxg,Tessio's Pizza,3.5,Tempe,33.4214795,-111.945394
K36554FQDOYRuw5o-UXvDA,Blondie's Sports Bar,2.0,Tempe,33.424281,-111.924088
nmFmOu9UuMcwghDV-IT-og,The Flame Broiler,4.0,Tempe,33.4214242,-111.924865
HjXI6lKGPVNQ8dYJPtaOCg,Mellow Mushroom,3.5,Tempe,33.4230242165,-111.940247586
H94fBucKEuNKsjbSy7WODg,Little Szechuan,3.5,Tempe,33.4221885,-111.9465206
sKWZ_tAOVMZoC4Qk8_Bd4A,Otto Pizza & Pastry,4.0,Tempe,33.421753,-111.94249
U2W22Vy1oSs4G7W-2vdQ4w,Thai Rama,3.5,Tempe,33.421712,-111.925231
1TLJ5dSPAa-ZFnPXPjp7LA,Paisan's Pizza & Italian Kitchen,3.0,Tempe,33.4219886325,-111.932327746
-0Sgh0QlUKVsWosCWJzGqQ,Domino's Pizza,2.0,Tempe,33.4143460071,-111.928995002
FFy_b5ylhCYUrAjbJSEvOw,Which Wich,4.0,Tempe,33.42791,-111.9404991
HwjhWHbNp56t-dRiv3-wPA,Phoenicia Cafe,4.0,Tempe,33.4235279,-111.9368564
Px4jJPkR56noH67rTku8aQ,Devil's Diner,4.0,Tempe,33.4243526355,-111.924045085
hmYnzs8-aHbltaOOGDgmbA,Zipps Sports Grill,2.5,Tempe,33.4233735877,-111.940251127
MbAsfN3wwV22K7GZsgcBqA,Mucho Gusto Taqueria Mexican Bistro,3.5,Tempe,33.4215309,-111.9475757
jJDKPJLzkoPeytWIzstJrA,Pedal Haus Brewery,3.5,Tempe,33.4232737269,-111.941378139
1zsM7weLS8fNHomDAqCh4Q,Blasted Barley Beer Company,4.0,Tempe,33.4267462,-111.9408348
Zmm5ksQu39aKkFiBxXNajA,Asu Karsten Golf Course,4.0,Tempe,33.4285441,-111.9212357
_uMRu3765QYo0Qg1z1LKqw,Blaze Fast-Fire'd Pizza,4.5,Tempe,33.4216439,-111.9414948
_MzJncLDDFC7-0QLt1KQcg,Chili's,2.5,Tempe,33.4221531,-111.9444913
prh-RlduJU3z3ynA5lU3Wg,Original ChopShop,4.0,Tempe,33.422318,-111.935883
VYRxbF0fq_fdC5WCqCYCwA,Jack in the Box,1.5,Tempe,33.4226059,-111.9396528
ncIFLVPKpozvUyZBAheyzw,Harry's Lounge Tempe Mission Palm's Hotel,3.5,Tempe,33.4264135,-111.9388822
Mul_BVwcnhqmp2h_7QFepQ,La Bocca Urban Pizzeria + Wine Bar,4.0,Tempe,33.4235849683,-111.939763531
CMx3FbuKpEIUNUMyQdKncw,Extreme Pita,2.5,Tempe,33.4222436,-111.9349687
mZsvMd5RCat1d3KMSD5tsg,Endgame Bar,3.5,Tempe,33.4237298,-111.9396558
jIlk4NUkoShYJVqA0edEpA,Axxio Pizza,2.5,Tempe,33.424281,-111.924088
3IY-JtcZHBOSzFD53SSXLA,US Fries Tempe,4.0,Tempe,33.4259647,-111.9402513
3KFWuiz8lla9SospgQn6Yg,Slickables,4.5,Tempe,33.4237049909,-111.939697266
8F-CalsRSKiPjjsx8ql8Lg,Five Guys Burgers and Fries,3.0,Tempe,33.4240283761,-111.940204358
3L8D5tGJ4FzQQo6ZMvbVYg,The Lodge Sasquatch Kitchen,3.5,Tempe,33.4297214,-111.9444928
tamr4J75GguGhF1hm1wEaA,Jersey Mike's Subs,3.5,Tempe,33.4343165,-111.9256121
2qlaSFyYFuzEo76jaL_ghQ,Stella's Kitchen,3.0,Tempe,33.4366655,-111.9403254
TkgEHV_4Qmamb_wUvkgdTg,Biscuits Cafe,4.0,Tempe,33.4221754,-111.9453653
aVkVDJ01OgvNwhlCUz_bng,Gordon Biersch,3.0,Tempe,33.425659504,-111.940382001
JwyH48vqADWY6HieOMDxgQ,My Big Fat Greek Restaurant,3.5,Tempe,33.4246763733,-111.939850896
0xfVubbU3z8O2NcuEYSQNg,Sushi 101 Bar and Grill,3.5,Tempe,33.4223065921,-111.925790447
dQxowi8M1a0F6QFLzp8T7Q,Devils Den Sports Grill,2.5,Tempe,33.4231472,-111.9328392
zB4TOI3Ci9BOidw55TREbA,The Tavern On Mill,3.5,Tempe,33.4267462,-111.9408348
tgDUi6vtF1cI3DQe5sqQBw,Devil's Pizza Factory,2.5,Tempe,33.4222183,-111.9258468
3lyrgCW4jb3sB8oJQTJd4A,Chicago's Taylor Street,4.0,Tempe,33.4394731,-111.9263167
0BbRoMwVTZgYV1oqgtsHOw,Moonshine Whiskey Bar & Grill,2.5,Tempe,33.426706,-111.9413378
5idlmsT1O86_ywGJtqot5w,Baja Fresh Mexican Grill,3.5,Tempe,33.4221754,-111.9453653
